date,flux_g_C_m2
2005,2.880517396
2005.08,4.545036276
2005.17,-1.267891682
2005.25,-91.5373879
2005.33,-115.8988935
2005.42,-82.03402956
2005.5,-83.92938513
2005.58,-39.01566559
2005.67,-67.6570471
2005.75,-56.50229824
2005.83,-28.76286282
2005.92,6.155025069
2006,-8.317342859
2006.08,-0.258016921
2006.17,-20.28218169
2006.25,-94.43783327
2006.33,-98.93473421
2006.42,-68.70860127
2006.5,-26.01001755
2006.58,-81.28352805
2006.67,-59.41425987
2006.75,-62.21453575
2006.83,-33.89815385
2006.92,-4.815980833
2007,5.419626391
2007.08,4.531722768
2007.17,-2.814311468
2007.25,-65.64147749
2007.33,-103.1945245
2007.42,-90.137447
2007.5,-176.7146327
2007.58,NA
2007.67,-46.01863262
2007.75,-22.92499649
2007.83,-6.311554043
2007.92,3.258039904
2008,1.524176465
2008.08,6.435927839
2008.17,2.262473716
2008.25,-80.47121363
2008.33,-132.5758841
2008.42,-96.64391884
2008.5,-86.0396769
2008.58,-121.2639366
2008.67,-27.42647677
2008.75,-50.18035811
2008.83,-11.54748794
2008.92,6.28939499
2009,4.536249941
2009.08,7.45993221
2009.17,-12.19276846
2009.25,-83.92111113
2009.33,-115.2960368
2009.42,-182.3953445
2009.5,-72.52065053
2009.58,-112.7571664
2009.67,-120.4979929
2009.75,-74.28366256
2009.83,-35.46530003
2009.92,8.218466867
2010,10.59272799
2010.08,2.233728213
2010.17,-33.40185718
2010.25,-119.5300749
2010.33,-98.02331421
2010.42,-136.9558452
2010.5,-98.79163772
2010.58,-95.14843659
2010.67,-88.41704634
2010.75,-59.35943657
2010.83,-20.67700319
2010.92,7.635624501
2011,6.931178512
2011.08,8.142498985
2011.17,-7.171937756
2011.25,-64.03209224
2011.33,-51.11893735
2011.42,-105.2961182
2011.5,-52.06269462
2011.58,-81.87363595
2011.67,-27.05311506
2011.75,-38.24651563
2011.83,-43.1589892
2011.92,1.616774458
2012,5.569811887
2012.08,8.346296941
2012.17,-37.36840402
2012.25,-99.59966251
2012.33,-90.82899578
2012.42,-103.7111485
2012.5,-58.12457339
2012.58,-56.76295206
2012.67,-54.83056019
2012.75,-33.71480327
2012.83,-18.29399631
2012.92,2.184847461
2013,9.186342179
2013.08,5.773648803
2013.17,1.475953967
2013.25,-59.23076973
2013.33,-70.70116827
2013.42,-35.93142903
2013.5,-11.53517359
2013.58,-73.49816046
2013.67,-48.452389
2013.75,-37.86030477
2013.83,-7.249370073
2013.92,6.357828235
