Species,Type,Mortality_Prob,SE
ACRU,Sapling,0.05428,0.001073
BEAL,Sapling,0.057902,0.001106
BEPA,Sapling,0.127574733,
FAGR,Sapling,0.040734,0.000193
TSCA,Sapling,0.03488,0.000092
BELE,Sapling,0.056954836,
FRAM,Sapling,0.085454,0.005791
PIST,Sapling,0.069718,0.000235
PRSE,Sapling,0.096696,0.009557
QURU,Sapling,0.065789,0.000634
PIRE,Sapling,0.084407,0.002066
PIAB,Sapling,0.066861,0.000453
ACRU,Adult,0.009512,0.000549
BEAL,Adult,0.009737,0.000265
BEPA,Adult,0.008338,0.001853
FAGR,Adult,0.008749,0.001296
TSCA,Adult,0.007896,0.000274
BELE,Adult,0.00956,0.000058
FRAM,Adult,0.013954,0.004355
PIST,Adult,0.01175,0.000142
PRSE,Adult,0.023632,0.007217
QURU,Adult,0.010093,0.000723
PIRE,Adult,0.010983,0.000189
PIAB,Adult,0.008983,0.000361
