,Time,Species,X,Y,Diam10,DBH,Height,CR,CD,Growth
15,15,ACRU,0,1,1.54509,1.15882,3.36708,0,0,1.04988
16,16,ACRU,0,1,1.82434,1.36826,3.71619,-1,-1,1.39626
17,17,ACRU,0,1,2.31016,1.73262,4.31266,-1,-1,2.42909
18,18,ACRU,0,1,2.80345,2.10259,4.90445,-1,-1,2.46645
19,19,ACRU,0,1,3.28617,2.46463,5.47037,-1,-1,2.4136
20,20,ACRU,0,1,3.28617,2.46463,5.47037,-1,-1,0
21,21,ACRU,0,1,3.80187,2.85141,6.06086,-1,-1,2.57853
22,22,ACRU,0,1,4.00935,3.00701,6.29439,-1,-1,1.03739
23,23,ACRU,0,1,4.15631,3.11723,6.45843,-1,-1,0.734797
24,24,ACRU,0,1,4.27691,3.20768,6.5922,-1,-1,0.602986
25,25,ACRU,0,1,4.27691,3.20768,6.5922,-1,-1,0
26,26,ACRU,0,1,4.27691,3.20768,6.5922,-1,-1,0
27,27,ACRU,0,1,4.38306,3.2873,6.70931,-1,-1,0.530762
28,28,ACRU,0,1,4.42119,3.31589,6.75123,-1,-1,0.19064
29,29,ACRU,0,1,4.90105,3.67579,7.27242,-1,-1,2.39928
30,30,ACRU,0,1,5.34394,4.00795,7.74309,-1,-1,2.21445
31,31,ACRU,0,1,5.58968,4.19226,8.00003,-1,-1,1.22872
32,32,ACRU,0,1,5.58968,4.19226,8.00003,-1,-1,0
33,33,ACRU,0,1,5.78152,4.33614,8.19854,-1,-1,0.959168
34,34,ACRU,0,1,5.78152,4.33614,8.19854,-1,-1,0
35,35,ACRU,0,1,5.78152,4.33614,8.19854,-1,-1,0
36,36,ACRU,0,1,5.86599,4.39949,8.28539,-1,-1,0.422388
37,37,ACRU,0,1,5.97246,4.47934,8.39435,-1,-1,0.532333
38,38,ACRU,0,1,6.58178,4.93634,9.00752,-1,-1,3.04662
39,39,ACRU,0,1,6.86118,5.14588,9.28283,-1,-1,1.39697
40,40,ACRU,0,1,7.11782,5.33837,9.53254,-1,-1,1.28322
41,41,ACRU,0,1,7.24562,5.43422,9.65576,-1,-1,0.639012
42,42,ACRU,0,1,7.66672,5.75004,10.0565,-1,-1,2.10547
43,43,ACRU,0,1,7.70874,5.78156,10.0961,-1,-1,0.210122
44,44,ACRU,0,1,8.18572,6.13929,10.5397,-1,-1,2.3849
45,45,ACRU,0,1,8.61063,6.45797,10.9265,-1,-1,2.12454
46,46,ACRU,0,1,9.05476,6.79107,11.3226,-1,-1,2.22067
47,47,ACRU,0,1,9.17613,6.88209,11.4294,-1,-1,0.606807
48,48,ACRU,0,1,9.53777,7.15333,11.744,-1,-1,1.80823
49,49,ACRU,0,1,9.7045,7.27837,11.8873,-1,-1,0.833625
50,50,ACRU,0,1,10.0613,7.54599,12.1901,-1,-1,1.78412
51,51,ACRU,0,1,10.4868,7.86507,12.5445,-1,-1,2.12722
52,52,ACRU,0,1,10.7923,8.0942,12.7947,-1,-1,1.52753
53,53,ACRU,0,1,10.8663,8.14974,12.8548,-1,-1,0.370239
54,54,ACRU,0,1,10.8663,8.14974,12.8548,-1,-1,0
55,55,ACRU,0,1,11.2443,8.4332,13.1582,-1,-1,1.88976
56,56,ACRU,0,1,11.2621,8.44657,13.1724,-1,-1,0.0891058
57,57,ACRU,0,1,11.4418,8.58133,13.3147,-1,-1,0.898416
58,58,ACRU,0,1,11.5743,8.68075,13.4189,-1,-1,0.662797
59,59,ACRU,0,1,11.7286,8.79642,13.5392,-1,-1,0.771129
60,60,ACRU,0,1,11.8008,8.85062,13.5954,-1,-1,0.361338
61,61,ACRU,0,1,12.1076,9.08071,13.8314,-1,-1,1.53391
62,62,ACRU,0,1,12.3191,9.23934,13.9922,-1,-1,1.05755
63,63,ACRU,0,1,12.9007,9.67551,14.4261,-1,-1,2.90783
